provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
from,,has host,http://purl.obolibrary.org/obo/RO_0002454
emerged from,,has host,http://purl.obolibrary.org/obo/RO_0002454
associated with,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
hyperparasitoid of,,has host,http://purl.obolibrary.org/obo/RO_0002454
reared from,,has host,http://purl.obolibrary.org/obo/RO_0002454
collected on,,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
collected in,,has host,http://purl.obolibrary.org/obo/RO_0002454
blank,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
